series,actual,predicted
point,285.0,245.99505331506077
point,270.0,276.7808552486928
point,260.0,258.4171694880071
point,277.0,245.99505331506077
point,286.0,263.8236716625775
point,296.0,276.2479889254075
point,269.0,285.41345263035174
point,293.0,245.99505331506077
point,187.8,249.57992466921937
point,123.4,254.6661439593876
point,297.3,262.389167716448
point,258.0,275.15770644101343
point,260.9,245.99505331506077
point,318.1,295.04370599865223
parity_reference,123.4,123.4
parity_reference,124.378391959799,124.378391959799
parity_reference,125.356783919598,125.356783919598
parity_reference,126.33517587939699,126.33517587939699
parity_reference,127.31356783919598,127.31356783919598
parity_reference,128.29195979899498,128.29195979899498
parity_reference,129.27035175879396,129.27035175879396
parity_reference,130.24874371859298,130.24874371859298
parity_reference,131.22713567839196,131.22713567839196
parity_reference,132.20552763819097,132.20552763819097
parity_reference,133.18391959798996,133.18391959798996
parity_reference,134.16231155778894,134.16231155778894
parity_reference,135.14070351758795,135.14070351758795
parity_reference,136.11909547738694,136.11909547738694
parity_reference,137.09748743718595,137.09748743718595
parity_reference,138.07587939698493,138.07587939698493
parity_reference,139.05427135678391,139.05427135678391
parity_reference,140.03266331658293,140.03266331658293
parity_reference,141.0110552763819,141.0110552763819
parity_reference,141.98944723618092,141.98944723618092
parity_reference,142.9678391959799,142.9678391959799
parity_reference,143.9462311557789,143.9462311557789
parity_reference,144.9246231155779,144.9246231155779
parity_reference,145.90301507537689,145.90301507537689
parity_reference,146.8814070351759,146.8814070351759
parity_reference,147.85979899497488,147.85979899497488
parity_reference,148.8381909547739,148.8381909547739
parity_reference,149.81658291457288,149.81658291457288
parity_reference,150.79497487437186,150.79497487437186
parity_reference,151.77336683417087,151.77336683417087
parity_reference,152.75175879396986,152.75175879396986
parity_reference,153.73015075376884,153.73015075376884
parity_reference,154.70854271356785,154.70854271356785
parity_reference,155.68693467336684,155.68693467336684
parity_reference,156.66532663316585,156.66532663316585
parity_reference,157.64371859296483,157.64371859296483
parity_reference,158.62211055276384,158.62211055276384
parity_reference,159.60050251256283,159.60050251256283
parity_reference,160.5788944723618,160.5788944723618
parity_reference,161.55728643216082,161.55728643216082
parity_reference,162.5356783919598,162.5356783919598
parity_reference,163.5140703517588,163.5140703517588
parity_reference,164.4924623115578,164.4924623115578
parity_reference,165.47085427135679,165.47085427135679
parity_reference,166.4492462311558,166.4492462311558
parity_reference,167.42763819095478,167.42763819095478
parity_reference,168.4060301507538,168.4060301507538
parity_reference,169.38442211055278,169.38442211055278
parity_reference,170.36281407035176,170.36281407035176
parity_reference,171.34120603015077,171.34120603015077
parity_reference,172.31959798994976,172.31959798994976
parity_reference,173.29798994974874,173.29798994974874
parity_reference,174.27638190954775,174.27638190954775
parity_reference,175.25477386934674,175.25477386934674
parity_reference,176.23316582914575,176.23316582914575
parity_reference,177.21155778894473,177.21155778894473
parity_reference,178.18994974874374,178.18994974874374
parity_reference,179.16834170854273,179.16834170854273
parity_reference,180.1467336683417,180.1467336683417
parity_reference,181.12512562814072,181.12512562814072
parity_reference,182.1035175879397,182.1035175879397
parity_reference,183.0819095477387,183.0819095477387
parity_reference,184.0603015075377,184.0603015075377
parity_reference,185.03869346733669,185.03869346733669
parity_reference,186.0170854271357,186.0170854271357
parity_reference,186.99547738693468,186.99547738693468
parity_reference,187.9738693467337,187.9738693467337
parity_reference,188.95226130653268,188.95226130653268
parity_reference,189.93065326633166,189.93065326633166
parity_reference,190.90904522613067,190.90904522613067
parity_reference,191.88743718592966,191.88743718592966
parity_reference,192.86582914572864,192.86582914572864
parity_reference,193.84422110552765,193.84422110552765
parity_reference,194.82261306532666,194.82261306532666
parity_reference,195.80100502512565,195.80100502512565
parity_reference,196.77939698492463,196.77939698492463
parity_reference,197.75778894472364,197.75778894472364
parity_reference,198.73618090452263,198.73618090452263
parity_reference,199.7145728643216,199.7145728643216
parity_reference,200.69296482412062,200.69296482412062
parity_reference,201.6713567839196,201.6713567839196
parity_reference,202.6497487437186,202.6497487437186
parity_reference,203.6281407035176,203.6281407035176
parity_reference,204.6065326633166,204.6065326633166
parity_reference,205.5849246231156,205.5849246231156
parity_reference,206.56331658291458,206.56331658291458
parity_reference,207.5417085427136,207.5417085427136
parity_reference,208.52010050251258,208.52010050251258
parity_reference,209.49849246231156,209.49849246231156
parity_reference,210.47688442211057,210.47688442211057
parity_reference,211.45527638190956,211.45527638190956
parity_reference,212.43366834170854,212.43366834170854
parity_reference,213.41206030150755,213.41206030150755
parity_reference,214.39045226130656,214.39045226130656
parity_reference,215.36884422110555,215.36884422110555
parity_reference,216.34723618090453,216.34723618090453
parity_reference,217.32562814070354,217.32562814070354
parity_reference,218.30402010050253,218.30402010050253
parity_reference,219.2824120603015,219.2824120603015
parity_reference,220.26080402010052,220.26080402010052
parity_reference,221.2391959798995,221.2391959798995
parity_reference,222.2175879396985,222.2175879396985
parity_reference,223.1959798994975,223.1959798994975
parity_reference,224.1743718592965,224.1743718592965
parity_reference,225.1527638190955,225.1527638190955
parity_reference,226.13115577889448,226.13115577889448
parity_reference,227.1095477386935,227.1095477386935
parity_reference,228.08793969849248,228.08793969849248
parity_reference,229.06633165829146,229.06633165829146
parity_reference,230.04472361809047,230.04472361809047
parity_reference,231.02311557788948,231.02311557788948
parity_reference,232.00150753768844,232.00150753768844
parity_reference,232.97989949748745,232.97989949748745
parity_reference,233.95829145728646,233.95829145728646
parity_reference,234.93668341708545,234.93668341708545
parity_reference,235.91507537688443,235.91507537688443
parity_reference,236.89346733668344,236.89346733668344
parity_reference,237.87185929648243,237.87185929648243
parity_reference,238.8502512562814,238.8502512562814
parity_reference,239.82864321608042,239.82864321608042
parity_reference,240.80703517587943,240.80703517587943
parity_reference,241.7854271356784,241.7854271356784
parity_reference,242.7638190954774,242.7638190954774
parity_reference,243.7422110552764,243.7422110552764
parity_reference,244.7206030150754,244.7206030150754
parity_reference,245.69899497487438,245.69899497487438
parity_reference,246.6773869346734,246.6773869346734
parity_reference,247.65577889447238,247.65577889447238
parity_reference,248.63417085427136,248.63417085427136
parity_reference,249.61256281407037,249.61256281407037
parity_reference,250.59095477386938,250.59095477386938
parity_reference,251.56934673366837,251.56934673366837
parity_reference,252.54773869346735,252.54773869346735
parity_reference,253.52613065326636,253.52613065326636
parity_reference,254.50452261306535,254.50452261306535
parity_reference,255.48291457286433,255.48291457286433
parity_reference,256.46130653266334,256.46130653266334
parity_reference,257.4396984924623,257.4396984924623
parity_reference,258.41809045226137,258.41809045226137
parity_reference,259.3964824120603,259.3964824120603
parity_reference,260.3748743718593,260.3748743718593
parity_reference,261.35326633165835,261.35326633165835
parity_reference,262.3316582914573,262.3316582914573
parity_reference,263.3100502512563,263.3100502512563
parity_reference,264.2884422110553,264.2884422110553
parity_reference,265.2668341708543,265.2668341708543
parity_reference,266.2452261306533,266.2452261306533
parity_reference,267.2236180904523,267.2236180904523
parity_reference,268.20201005025126,268.20201005025126
parity_reference,269.1804020100503,269.1804020100503
parity_reference,270.1587939698493,270.1587939698493
parity_reference,271.13718592964824,271.13718592964824
parity_reference,272.11557788944725,272.11557788944725
parity_reference,273.09396984924626,273.09396984924626
parity_reference,274.0723618090452,274.0723618090452
parity_reference,275.05075376884423,275.05075376884423
parity_reference,276.02914572864324,276.02914572864324
parity_reference,277.0075376884422,277.0075376884422
parity_reference,277.98592964824127,277.98592964824127
parity_reference,278.9643216080402,278.9643216080402
parity_reference,279.9427135678392,279.9427135678392
parity_reference,280.92110552763825,280.92110552763825
parity_reference,281.8994974874372,281.8994974874372
parity_reference,282.8778894472362,282.8778894472362
parity_reference,283.8562814070352,283.8562814070352
parity_reference,284.8346733668342,284.8346733668342
parity_reference,285.8130653266332,285.8130653266332
parity_reference,286.7914572864322,286.7914572864322
parity_reference,287.76984924623116,287.76984924623116
parity_reference,288.7482412060302,288.7482412060302
